!COMPUTATIONAL CHEMISTRY CONSORTIUM: C3
!LAWRENCE LIVERMORE NATIONAL LABORATORY



!FROM_UOG
CC6H11-B            2       390.293     5.457     0.000    11.250     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
XC7H13-Z            2       422.324     5.715     0.000    13.100     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
YC7H13-Y2           2       422.324     5.715     0.000    13.100     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
YC7H13-X2           2       422.324     5.715     0.000    13.100     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
CC6H11O-B           2       426.639     5.750     0.000    11.820     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
ACC6H10             2       387.892     5.437     0.000    11.080     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
ACC6H9-A            2       385.477     5.417     0.000    10.910     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
ACC6H9-D            2       385.477     5.417     0.000    10.910     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
IC8D3-3R            2       452.144     5.949     0.000    14.950     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
IC8D3-3O2R          2       513.866     6.413     0.000    16.090     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
ME133-CPTR1         2       452.144     5.949     0.000    14.950     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
ME144-CPTENE        2       450.061     5.933     0.000    14.780     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
ME133-CPTENE        2       450.061     5.933     0.000    14.780     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
IC8D3-5CHO          2       482.019     6.176     0.000    15.350     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
IC8D4-5AR           2       452.144     5.949     0.000    14.950     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
IC8D4-5CHO          2       482.019     6.176     0.000    15.350     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
IC8D4-5AO2R         2       513.866     6.413     0.000    16.090     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
IC8D3-1O2R          2       513.866     6.413     0.000    16.090     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
IC8D4-1O2R          2       513.866     6.413     0.000    16.090     1.000 !WAGNON1@LLNL.GOV, ESTIMATED 2024-05-02
